Date : 2024-05-07 20:42:40
Directory : c:\Users\subar\OneDrive\Desktop\Diplome
Total : 139 files,  68428 codes, 54 comments, 609 blanks, all 69091 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\spark.glb.log                 | Log        |        621 |          0 |          1 |        622 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\tensBelt.glb.log              | Log        |        724 |          0 |          1 |        725 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\timingCover.glb.log           | Log        |        578 |          0 |          1 |        579 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\water.glb.log                 | Log        |        536 |          0 |          1 |        537 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\waterpump.glb.log             | Log        |        536 |          0 |          1 |        537 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\brakes.glb.log        | Log        |        688 |          0 |          1 |        689 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\conBot.glb.log        | Log        |        712 |          0 |          1 |        713 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\conTop.glb.log        | Log        |        706 |          0 |          1 |        707 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\disk.glb.log          | Log        |        603 |          0 |          1 |        604 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\hub.glb.log           | Log        |        518 |          0 |          1 |        519 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\hubMain.glb.log       | Log        |        688 |          0 |          1 |        689 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\overview.glb.log      | Log        |      1,595 |          0 |          1 |      1,596 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\stab.glb.log          | Log        |        609 |          0 |          1 |        610 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\steer.glb.log         | Log        |        609 |          0 |          1 |        610 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\sus.glb.log           | Log        |        694 |          0 |          1 |        695 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\brakeBase.glb.log     | Log        |        688 |          0 |          1 |        689 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\conArm.glb.log        | Log        |        712 |          0 |          1 |        713 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\hub.glb.log           | Log        |        518 |          0 |          1 |        519 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\hubInside.glb.log     | Log        |        700 |          0 |          1 |        701 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\hubcapNbrake.glb.log  | Log        |        603 |          0 |          1 |        604 |
