"filename", "language", "JavaScript", "Log", "CSS", "comment", "blank", "total"
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\stab.glb.log", "Log", 0, -609, 0, 0, -1, -610
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\steer.glb.log", "Log", 0, -609, 0, 0, -1, -610
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\sus.glb.log", "Log", 0, -694, 0, 0, -1, -695
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\brakeBase.glb.log", "Log", 0, -688, 0, 0, -1, -689
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\conArm.glb.log", "Log", 0, -712, 0, 0, -1, -713
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\hub.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\hubInside.glb.log", "Log", 0, -700, 0, 0, -1, -701
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\hubcapNbrake.glb.log", "Log", 0, -603, 0, 0, -1, -604
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\overview.glb.log", "Log", 0, -1443, 0, 0, -1, -1444
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\stable.glb.log", "Log", 0, -609, 0, 0, -1, -610
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\steer.glb.log", "Log", 0, -609, 0, 0, -1, -610
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\susp.glb.log", "Log", 0, -718, 0, 0, -1, -719
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\alter.glb.log", "Log", 0, -694, 0, 0, -1, -695
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\beltTens.glb.log", "Log", 0, -876, 0, 0, -1, -877
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\block.glb.log", "Log", 0, -603, 0, 0, -1, -604
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\camGears.glb.log", "Log", 0, -627, 0, 0, -1, -628
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\cams.glb.log", "Log", 0, -759, 0, 0, -1, -760
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\chainTensShoe.glb.log", "Log", 0, -639, 0, 0, -1, -640
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\conrodPiston.glb.log", "Log", 0, -759, 0, 0, -1, -760
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\crankshaft.glb.log", "Log", 0, -651, 0, 0, -1, -652
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\cylHead.glb.log", "Log", 0, -675, 0, 0, -1, -676
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\cylHeadCover.glb.log", "Log", 0, -875, 0, 0, -1, -876
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\engineCover.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\exhaust.glb.log", "Log", 0, -699, 0, 0, -1, -700
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\harm.glb.log", "Log", 0, -603, 0, 0, -1, -604
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\injectors.glb.log", "Log", 0, -524, 0, 0, -1, -525
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\intake.glb.log", "Log", 0, -621, 0, 0, -1, -622
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\oilfilter.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\oilpan.glb.log", "Log", 0, -560, 0, 0, -1, -561
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\overview.glb.log", "Log", 0, -1899, 0, 0, -1, -1900
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\powersteering.glb.log", "Log", 0, -609, 0, 0, -1, -610
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\spark.glb.log", "Log", 0, -687, 0, 0, -1, -688
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\throttle.glb.log", "Log", 0, -621, 0, 0, -1, -622
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\timingCover.glb.log", "Log", 0, -621, 0, 0, -1, -622
"c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\waterpumpNPulley.glb.log", "Log", 0, -645, 0, 0, -1, -646
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\diyDrop.js", "JavaScript", -13, 0, 0, 0, 0, -13
